"","MURI","MURI_num","L","SA","short_R1","short_R2"
"174","MURI_131 ",131,"L003","SA14140","MURI_131_SA14140_GATCAG_L003_R1_001.fastq.gz","MURI_131_SA14140_GATCAG_L003_R2_001.fastq.gz"
"175","MURI_132 ",132,"L003","SA14140","MURI_132_SA14140_TAGCTT_L003_R1_001.fastq.gz","MURI_132_SA14140_TAGCTT_L003_R2_001.fastq.gz"
"176","MURI_133 ",133,"L003","SA14140","MURI_133_SA14140_GGCTAC_L003_R1_001.fastq.gz","MURI_133_SA14140_GGCTAC_L003_R2_001.fastq.gz"
"177","MURI_134 ",134,"L003","SA14141","MURI_134_SA14141_CTTGTA_L003_R1_001.fastq.gz","MURI_134_SA14141_CTTGTA_L003_R2_001.fastq.gz"
"178","MURI_134 ",134,"L004","SA15156","MURI_134_SA15156_TTAGGC_L004_R1_001.fastq.gz","MURI_134_SA15156_TTAGGC_L004_R2_001.fastq.gz"
"179","MURI_135 ",135,"L003","SA14217","MURI_135_SA14217_ATCACG_L003_R1_001.fastq.gz","MURI_135_SA14217_ATCACG_L003_R2_001.fastq.gz"
"180","MURI_135 ",135,"L004","SA14217","MURI_135_SA14217_ATCACG_L004_R1_001.fastq.gz","MURI_135_SA14217_ATCACG_L004_R2_001.fastq.gz"
"181","MURI_136 ",136,"L003","SA14141","MURI_136_SA14141_CAGATC_L003_R1_001.fastq.gz","MURI_136_SA14141_CAGATC_L003_R2_001.fastq.gz"
"182","MURI_137 ",137,"L001","SA15008","MURI_137_SA15008_ACTTGA_L001_R1_001.fastq.gz","MURI_137_SA15008_ACTTGA_L001_R2_001.fastq.gz"
"183","MURI_137 ",137,"L003","SA14141","MURI_137_SA14141_ACTTGA_L003_R1_001.fastq.gz","MURI_137_SA14141_ACTTGA_L003_R2_001.fastq.gz"
"184","MURI_138 ",138,"L003","SA14141","MURI_138_SA14141_GATCAG_L003_R1_001.fastq.gz","MURI_138_SA14141_GATCAG_L003_R2_001.fastq.gz"
"185","MURI_139 ",139,"L003","SA14141","MURI_139_SA14141_TAGCTT_L003_R1_001.fastq.gz","MURI_139_SA14141_TAGCTT_L003_R2_001.fastq.gz"
"186","MURI_139 ",139,"L004","SA15156","MURI_139_SA15156_TGACCA_L004_R1_001.fastq.gz","MURI_139_SA15156_TGACCA_L004_R2_001.fastq.gz"
"187","MURI_140 ",140,"L002","SA14140","MURI_140_SA14140_GGCTAC_L002_R1_001.fastq.gz","MURI_140_SA14140_GGCTAC_L002_R2_001.fastq.gz"
"188","MURI_141 ",141,"L002","SA14140","MURI_141_SA14140_CTTGTA_L002_R1_001.fastq.gz","MURI_141_SA14140_CTTGTA_L002_R2_001.fastq.gz"
"189","MURI_141 ",141,"L004","SA14141","MURI_141_SA14141_CTTGTA_L004_R1_001.fastq.gz","MURI_141_SA14141_CTTGTA_L004_R2_001.fastq.gz"
"190","MURI_142 ",142,"L003","SA14141","MURI_142_SA14141_AGTCAA_L003_R1_001.fastq.gz","MURI_142_SA14141_AGTCAA_L003_R2_001.fastq.gz"
"191","MURI_143 ",143,"L003","SA14141","MURI_143_SA14141_AGTTCC_L003_R1_001.fastq.gz","MURI_143_SA14141_AGTTCC_L003_R2_001.fastq.gz"
"192","MURI_144 ",144,"L003","SA14141","MURI_144_SA14141_ATGTCA_L003_R1_001.fastq.gz","MURI_144_SA14141_ATGTCA_L003_R2_001.fastq.gz"
"193","MURI_145 ",145,"L003","SA14141","MURI_145_SA14141_CCGTCC_L003_R1_001.fastq.gz","MURI_145_SA14141_CCGTCC_L003_R2_001.fastq.gz"
"194","MURI_146 ",146,"L003","SA14141","MURI_146_SA14141_GTCCGC_L003_R1_001.fastq.gz","MURI_146_SA14141_GTCCGC_L003_R2_001.fastq.gz"
"195","MURI_147 ",147,"L001","SA15008","MURI_147_SA15008_GTGAAA_L001_R1_001.fastq.gz","MURI_147_SA15008_GTGAAA_L001_R2_001.fastq.gz"
"196","MURI_147 ",147,"L008","SA14155","MURI_147_SA14155_GTGAAA_L008_R1_001.fastq.gz","MURI_147_SA14155_GTGAAA_L008_R2_001.fastq.gz"
"197","MURI_148 ",148,"L003","SA14141","MURI_148_SA14141_GTGGCC_L003_R1_001.fastq.gz","MURI_148_SA14141_GTGGCC_L003_R2_001.fastq.gz"
"198","MURI_148 ",148,"L004","SA15156","MURI_148_SA15156_ACAGTG_L004_R1_001.fastq.gz","MURI_148_SA15156_ACAGTG_L004_R2_001.fastq.gz"
"199","MURI_149 ",149,"L004","SA15156","MURI_149_SA15156_GCCAAT_L004_R1_001.fastq.gz","MURI_149_SA15156_GCCAAT_L004_R2_001.fastq.gz"
"200","MURI_149 ",149,"L008","SA14155","MURI_149_SA14155_CGTACG_L008_R1_001.fastq.gz","MURI_149_SA14155_CGTACG_L008_R2_001.fastq.gz"
"201","MURI_150 ",150,"L004","SA15156","MURI_150_SA15156_CAGATC_L004_R1_001.fastq.gz","MURI_150_SA15156_CAGATC_L004_R2_001.fastq.gz"
"202","MURI_150 ",150,"L008","SA14155","MURI_150_SA14155_GAGTGG_L008_R1_001.fastq.gz","MURI_150_SA14155_GAGTGG_L008_R2_001.fastq.gz"
"203","MURI_151 ",151,"L002","SA14140","MURI_151_SA14140_ACTGAT_L002_R1_001.fastq.gz","MURI_151_SA14140_ACTGAT_L002_R2_001.fastq.gz"
"204","MURI_151 ",151,"L004","SA15156","MURI_151_SA15156_ACTTGA_L004_R1_001.fastq.gz","MURI_151_SA15156_ACTTGA_L004_R2_001.fastq.gz"
"205","MURI_152 ",152,"L002","SA14140","MURI_152_SA14140_ATTCCT_L002_R1_001.fastq.gz","MURI_152_SA14140_ATTCCT_L002_R2_001.fastq.gz"
"206","MURI_152 ",152,"L004","SA14141","MURI_152_SA14141_ATTCCT_L004_R1_001.fastq.gz","MURI_152_SA14141_ATTCCT_L004_R2_001.fastq.gz"
"207","MURI_153 ",153,"L007","SA14217","MURI_153_SA14217_ATCACG_L007_R1_001.fastq.gz","MURI_153_SA14217_ATCACG_L007_R2_001.fastq.gz"
"208","MURI_154 ",154,"L002","SA14141","MURI_154_SA14141_CAGATC_L002_R1_001.fastq.gz","MURI_154_SA14141_CAGATC_L002_R2_001.fastq.gz"
