"","Phase","Salt","Conc","Branch","MeanFluxRatio","SDEFluxRatio","Phase2"
"169","STA","MGSO4",200,"SER from GLY",0.195558888888889,0.101418774949936,"Stationary"
"170","STA","MGSO4",400,"E4P from P5P",0.500005,0.499995,"Stationary"
"171","STA","MGSO4",400,"E4P through TK",0.621666666666667,0.131666666666667,"Stationary"
"172","STA","MGSO4",400,"GLY from SER",1e-05,0,"Stationary"
"173","STA","MGSO4",400,"Labeled CO2 EC",0.085005,0.084995,"Stationary"
"174","STA","MGSO4",400,"OAA from PEP",0.288338333333333,0.288328333333333,"Stationary"
"175","STA","MGSO4",400,"P5P from E4P",1e-05,0,"Stationary"
"176","STA","MGSO4",400,"P5P from G3P",0.0333383333333333,0.0333283333333333,"Stationary"
"177","STA","MGSO4",400,"P5P from G6P",0.500005,0.499995,"Stationary"
"178","STA","MGSO4",400,"PEP from OAA",0.0616666666666667,0.025,"Stationary"
"179","STA","MGSO4",400,"PEP through TK",0.08,0.00333333333333333,"Stationary"
"180","STA","MGSO4",400,"PYR from MAL_LB",0.203333333333333,0.146666666666667,"Stationary"
"181","STA","MGSO4",400,"PYR from MAL_UB",0.0416716666666667,0.0416616666666667,"Stationary"
"182","STA","MGSO4",400,"SER from GLY",0.195005,0.194995,"Stationary"
"183","STA","MGSO4",50,"E4P from P5P",0.818888888888889,0.181111111111111,"Stationary"
"184","STA","MGSO4",50,"E4P through TK",0.410003333333333,0.220711232517195,"Stationary"
"185","STA","MGSO4",50,"GLY from SER",0.84,0.16,"Stationary"
"186","STA","MGSO4",50,"Labeled CO2 EC",0.0833366666666667,0.0800214092417588,"Stationary"
"187","STA","MGSO4",50,"OAA from PEP",0.393336666666667,0.296070849897891,"Stationary"
"188","STA","MGSO4",50,"P5P from E4P",0.0744511111111111,0.0744411111111111,"Stationary"
"189","STA","MGSO4",50,"P5P from G3P",0.396666666666667,0.302954586500158,"Stationary"
"190","STA","MGSO4",50,"P5P from G6P",0.663336666666667,0.33167589603574,"Stationary"
"191","STA","MGSO4",50,"PEP from OAA",0.0455588888888889,0.0243654534075007,"Stationary"
"192","STA","MGSO4",50,"PEP through TK",0.0633333333333333,0.0266666666666667,"Stationary"
"193","STA","MGSO4",50,"PYR from MAL_LB",0.0166733333333333,0.0166633333333333,"Stationary"
"194","STA","MGSO4",50,"PYR from MAL_UB",0.0211177777777778,0.0211077777777778,"Stationary"
"195","STA","MGSO4",50,"SER from GLY",0.181114444444444,0.0920179196785893,"Stationary"
"196","STA","MGSO4",8,"E4P from P5P",1,0,"Stationary"
"197","STA","MGSO4",8,"E4P through TK",0.438888888888889,0.0542399788775952,"Stationary"
"198","STA","MGSO4",8,"GLY from SER",0.994444444444444,0.00555555555555557,"Stationary"
"199","STA","MGSO4",8,"Labeled CO2 EC",0.0933333333333333,0.0134715062810913,"Stationary"
"200","STA","MGSO4",8,"OAA from PEP",0.398888888888889,0.0135172500673294,"Stationary"
"201","STA","MGSO4",8,"P5P from E4P",1e-05,0,"Stationary"
"202","STA","MGSO4",8,"P5P from G3P",0.13,0.0458257569495584,"Stationary"
"203","STA","MGSO4",8,"P5P from G6P",0.974444444444444,0.0192770573032194,"Stationary"
"204","STA","MGSO4",8,"PEP from OAA",0.101111111111111,0.0501971422136734,"Stationary"
"205","STA","MGSO4",8,"PEP through TK",0.0811111111111111,0.0128139584385231,"Stationary"
"206","STA","MGSO4",8,"PYR from MAL_LB",0.00778444444444444,0.00777444444444444,"Stationary"
"207","STA","MGSO4",8,"PYR from MAL_UB",0.0122288888888889,0.0122188888888889,"Stationary"
"208","STA","MGSO4",8,"SER from GLY",0.265555555555556,0.074195271221318,"Stationary"
"209","STA","NACL",100,"E4P from P5P",1,0,"Stationary"
"210","STA","NACL",100,"E4P through TK",0.463333333333333,0.00509175077217316,"Stationary"
"211","STA","NACL",100,"GLY from SER",0.998888888888889,0.0011111111111111,"Stationary"
"212","STA","NACL",100,"Labeled CO2 EC",0.09,0.0173205080756888,"Stationary"
"213","STA","NACL",100,"OAA from PEP",0.418888888888889,0.0173561103909037,"Stationary"
"214","STA","NACL",100,"P5P from E4P",1e-05,0,"Stationary"
"215","STA","NACL",100,"P5P from G3P",0.0933333333333333,0.05,"Stationary"
"216","STA","NACL",100,"P5P from G6P",0.975555555555556,0.0244444444444445,"Stationary"
"217","STA","NACL",100,"PEP from OAA",0.0644444444444444,0.00400616808384888,"Stationary"
"218","STA","NACL",100,"PEP through TK",0.1,0.0185592145427667,"Stationary"
"219","STA","NACL",100,"PYR from MAL_LB",0.0144444444444444,0.00444444444444445,"Stationary"
"220","STA","NACL",100,"PYR from MAL_UB",0.0222222222222222,0.00555555555555556,"Stationary"
"221","STA","NACL",100,"SER from GLY",0.227777777777778,0.0130998068028351,"Stationary"
"222","STA","NACL",200,"E4P from P5P",1,0,"Stationary"
"223","STA","NACL",200,"E4P through TK",0.476666666666667,0.0038490017945975,"Stationary"
"224","STA","NACL",200,"GLY from SER",1,0,"Stationary"
"225","STA","NACL",200,"Labeled CO2 EC",0.0622255555555556,0.032046108929648,"Stationary"
"226","STA","NACL",200,"OAA from PEP",0.32,0.0574778540283447,"Stationary"
"227","STA","NACL",200,"P5P from E4P",1e-05,0,"Stationary"
"228","STA","NACL",200,"P5P from G3P",0.0811111111111111,0.0349249636566705,"Stationary"
"229","STA","NACL",200,"P5P from G6P",0.995555555555556,0.00444444444444444,"Stationary"
"230","STA","NACL",200,"PEP from OAA",0.0555555555555556,0.00400616808384888,"Stationary"
"231","STA","NACL",200,"PEP through TK",0.0933333333333333,0.00509175077217315,"Stationary"
"232","STA","NACL",200,"PYR from MAL_LB",0.0100066666666667,0.00999666666666667,"Stationary"
"233","STA","NACL",200,"PYR from MAL_UB",0.0144511111111111,0.0144411111111111,"Stationary"
"234","STA","NACL",200,"SER from GLY",0.271111111111111,0.00867805519545183,"Stationary"
"235","STA","NACL",300,"E4P from P5P",1,0,"Stationary"
"236","STA","NACL",300,"E4P through TK",0.463333333333333,0.0192450089729875,"Stationary"
"237","STA","NACL",300,"GLY from SER",0.995555555555556,0.00444444444444444,"Stationary"
"238","STA","NACL",300,"Labeled CO2 EC",0.0344511111111111,0.0344411111111111,"Stationary"
"239","STA","NACL",300,"OAA from PEP",0.285555555555556,0.0474666874739863,"Stationary"
"240","STA","NACL",300,"P5P from E4P",1e-05,0,"Stationary"
"241","STA","NACL",300,"P5P from G3P",0.126666666666667,0.0425571511160123,"Stationary"
"242","STA","NACL",300,"P5P from G6P",0.975555555555556,0.0244444444444445,"Stationary"
"243","STA","NACL",300,"PEP from OAA",0.0822222222222222,0.00222222222222222,"Stationary"
"244","STA","NACL",300,"PEP through TK",0.113333333333333,0.0150308325094097,"Stationary"
"245","STA","NACL",300,"PYR from MAL_LB",0.0155555555555556,0.00555555555555556,"Stationary"
"246","STA","NACL",300,"PYR from MAL_UB",0.0211111111111111,0.00618640484758891,"Stationary"
"247","STA","NACL",300,"SER from GLY",0.332222222222222,0.0251170101232385,"Stationary"
"248","STA","NACL",5,"E4P from P5P",1,0,"Stationary"
"249","STA","NACL",5,"E4P through TK",0.503333333333333,0.0107151675122144,"Stationary"
"250","STA","NACL",5,"GLY from SER",1,0,"Stationary"
"251","STA","NACL",5,"Labeled CO2 EC",0.101111111111111,0.0125215862995385,"Stationary"
"252","STA","NACL",5,"OAA from PEP",0.39,0.00333333333333334,"Stationary"
"253","STA","NACL",5,"P5P from E4P",1e-05,0,"Stationary"
"254","STA","NACL",5,"P5P from G3P",0.0722222222222222,0.0294601635190286,"Stationary"
"255","STA","NACL",5,"P5P from G6P",1,0,"Stationary"
"256","STA","NACL",5,"PEP from OAA",0.0533333333333333,0.00333333333333333,"Stationary"
"257","STA","NACL",5,"PEP through TK",0.0911111111111111,0.00777777777777778,"Stationary"
"258","STA","NACL",5,"PYR from MAL_LB",0.0155555555555556,0.0105993244601883,"Stationary"
"259","STA","NACL",5,"PYR from MAL_UB",0.0255555555555556,0.0172490829958445,"Stationary"
"260","STA","NACL",5,"SER from GLY",0.324444444444444,0.0125215862995385,"Stationary"
