"","x"
"1488","yhhA"
"1489","yhhI"
"1490","yhhI-1"
"1491","yhhI-2"
"1492","yhhX"
"1493","yhiD"
"1494","yhiH"
"1495","yhiJ"
"1496","yhiKL"
"1497","yhiR"
"1498","yhiV"
"1499","yhjA"
"1500","yhjE"
"1501","yhjG"
"1502","yhjJ"
"1503","yhjN"
"1504","yiaD"
"1505","yiaF"
"1506","yiaJ"
"1507","yiaV"
"1508","yiaY"
"1509","yibH"
"1510","yibJ"
"1511","yibL"
"1512","yibN"
"1513","yicC"
"1514","yicI"
"1515","yicJ"
"1516","yidB"
"1517","yidC"
"1518","yidS"
"1519","yieC"
"1520","yieE"
"1521","yieH"
"1522","yieM"
"1523","yieP"
"1524","yifE"
"1525","yifL"
"1526","yigA"
"1527","yigB"
"1528","yigL"
"1529","yihD"
"1530","yihF"
"1531","yihG"
"1532","yihI"
"1533","yihL"
"1534","yihN"
"1535","yihQ"
"1536","yihS"
"1537","yihT"
"1538","yihU"
"1539","yihX"
"1540","yiiS"
"1541","yiiU"
"1542","yijP"
"1543","yjbB"
"1544","yjbC"
"1545","yjbH"
"1546","yjbI"
"1547","yjbN"
"1548","yjcF"
"1549","yjcO"
"1550","yjcP"
"1551","yjcQ"
"1552","yjcR"
"1553","yjcS"
"1554","yjcZ"
"1555","yjdA"
"1556","yjdC"
"1557","yjeB"
"1558","yjeE"
"1559","yjeF"
"1560","yjeI"
"1561","yjeJ"
"1562","yjeQ"
"1563","yjeS"
"1564","yjfH"
"1565","yjfJ"
"1566","yjfP"
"1567","yjgA"
"1568","yjgD"
"1569","yjgF"
"1570","yjgI"
"1571","yjgL"
"1572","yjgM"
"1573","yjhT"
"1574","yjiK"
"1575","yjiN"
"1576","yjiZ"
"1577","yjjA"
"1578","yjjG"
"1579","yjjI"
"1580","yjjK"
"1581","yjjX"
"1582","ykfE"
"1583","ykgC"
"1584","ykgE"
"1585","ylaB"
"1586","ylbE"
"1587","ylcC"
"1588","yleA"
"1589","yliB"
"1590","yliE"
"1591","yliF"
"1592","yliJ"
"1593","ymbA"
"1594","ymcA"
"1595","ymcC"
"1596","ymfC"
"1597","ynaE"
"1598","ynbC"
"1599","yncB"
"1600","yncE"
"1601","yneB"
"1602","yneE"
"1603","yneF"
"1604","yneK"
"1605","ynfC"
"1606","ynfE"
"1607","ynfF"
"1608","ynfL"
"1609","yniC"
"1610","ynjA"
"1611","ynjB"
"1612","yoaA"
"1613","yoaB"
